id_for_matlab;hhid;training;lnpercapitaconsumption;groupprediction;groupprediction2
1;233710511;0;;5.170552326;5.17311949
2;295508011;0;;6.055113256;6.053189956
3;257600211;0;;6.709887005;6.711597251
4;198104311;0;;6.069413116;6.068690806
5;24805311;0;;5.012305876;5.011660075
6;43204011;0;;5.909236826;5.907966642
7;67704311;0;;4.959354927;4.960169862
8;3705611;0;;5.821592008;5.821179168
9;128307411;0;;6.032279587;6.031667239
10;253209511;0;;5.228202182;5.227830256
11;234203511;0;;5.261177686;5.264067303
12;82603911;0;;5.364471477;5.364114297
13;216400911;0;;6.17228099;6.171289783
14;206009812;0;;7.246919462;7.249909523
15;241104611;0;;6.022866272;6.02392092
16;349001511;0;;5.878739612;5.881147101
17;281807711;0;;5.019186177;5.01740426
18;90400111;0;;5.368601058;5.370734295
19;298107511;0;;6.466231189;6.468655316
20;15109011;0;;6.350640304;6.350131731
21;29002511;0;;5.316047901;5.315252491
22;45707111;0;;5.726841595;5.722316871
23;32101211;0;;5.056876678;5.056085035
24;261409411;0;;5.077198545;5.075562928
25;238601411;0;;6.026977789;6.025613164
26;384112222;0;;5.943968436;5.947731209
27;104608111;0;;5.06323598;5.06352278
28;265603911;0;;5.317839037;5.314740429
29;149007311;0;;6.487900711;6.486710559
30;189408911;0;;6.290597968;6.29042973
31;335704211;0;;5.878943884;5.878491679
32;124904111;0;;6.677214434;6.679121339
33;326704611;0;;6.214118969;6.209059741
34;117307611;0;;6.348208327;6.347082445
35;390600111;0;;6.556998547;6.556053275
36;256308911;0;;6.211448308;6.211636309
37;109300811;0;;6.278762299;6.279882371
38;390909011;0;;5.150595781;5.152080835
39;252707011;0;;5.793710118;5.797168195
40;187419311;0;;6.47468818;6.473243968
41;292402111;0;;5.274174646;5.27309776
42;202501011;0;;6.361847487;6.362274482
43;254307711;0;;5.788406868;5.787628203
44;265908911;0;;4.829566735;4.826567508
45;112702911;0;;6.604840586;6.604571576
46;372108211;0;;5.315866422;5.319455457
47;125703811;0;;6.406836355;6.40706965
48;206105311;0;;6.366713639;6.365929219
49;85408711;0;;4.817978492;4.817513841
50;255703511;0;;5.03452499;5.036676681
51;303706811;0;;5.324593701;5.326237316
52;16803211;0;;6.654267476;6.649017762
53;255512811;0;;5.688057541;5.685679992
54;108305811;0;;5.641939851;5.646861547
55;84116611;0;;5.325282423;5.326984694
56;60910311;0;;5.115885209;5.115584647
57;388211311;0;;5.86034008;5.859243399
58;183805511;0;;5.672601305;5.672576476
59;215705612;0;;6.278493742;6.280153753
60;59207811;0;;5.23341598;5.231208822
61;14604911;0;;6.256865957;6.254940878
62;264707611;0;;5.776771896;5.77767871
63;247801522;0;;6.378838056;6.378412944
64;173002211;0;;5.930234603;5.928091028
65;229710911;0;;5.134264269;5.134013042
66;67704811;0;;5.062180747;5.059275097
67;132703111;0;;6.593590685;6.597422908
68;358006011;0;;6.739932428;6.737923233
69;340403011;0;;5.550876387;5.550313582
70;179105311;0;;6.154202008;6.15563165
71;228106511;0;;5.17372992;5.174945582
72;45006111;0;;5.778533158;5.782256186
73;256004011;0;;5.381632947;5.380877557
74;157303811;0;;6.448054578;6.447566615
75;340303811;0;;5.749825804;5.744909304
76;246713611;0;;6.029641687;6.027083957
77;286707911;0;;5.469946539;5.468532555
78;302708511;0;;6.003523994;6.000660533
79;222903911;0;;7.033975949;7.033499401
80;122202911;0;;6.582320101;6.58004486
81;69905811;0;;5.899956986;5.89941621
82;19511111;0;;5.577053082;5.579952279
83;63805811;0;;6.651627078;6.651129007
84;263604811;0;;6.178619074;6.178741829
85;350700611;0;;6.534760936;6.537076739
86;142807211;0;;6.384934775;6.382413825
87;301604811;0;;6.461594436;6.461085127
88;315404011;0;;6.184566994;6.184231781
89;315804411;0;;5.877013916;5.872885025
90;216800111;0;;6.638418746;6.637579068
91;294515111;0;;5.631177823;5.634662566
92;13001311;0;;5.712966744;5.714754711
93;16003711;0;;6.428902707;6.430407996
94;108312211;0;;4.935483867;4.934368976
95;265808911;0;;4.919284548;4.919812613
96;180505911;0;;6.108644738;6.109533618
97;346803111;0;;4.793144165;4.793053836
98;166603611;0;;6.574305418;6.570943649
99;166902211;0;;7.077328291;7.079632722
100;82604911;0;;5.432867062;5.432422477
101;7701811;0;;5.267138175;5.262756887
102;115108011;0;;6.414580349;6.415257774
103;134008111;0;;5.209520878;5.208135109
104;193204311;0;;6.883535047;6.881595297
105;140001311;0;;6.565866581;6.568080462
106;104008911;0;;4.698340126;4.698178783
107;59002711;0;;5.016310165;5.014025447
108;75910511;0;;5.019609517;5.02013755
109;29107411;0;;4.546221041;4.548002117
110;305709711;0;;5.627367757;5.629196578
111;256504211;0;;6.489567087;6.487722136
112;149310611;0;;5.488661736;5.487635711
113;116707411;0;;5.935025041;5.936876876
114;169201211;0;;6.10416768;6.101327002
115;321603811;0;;6.473470561;6.472415299
116;17406611;0;;5.115024131;5.112411273
117;326506211;0;;6.595864042;6.594469946
118;93907811;0;;4.943228629;4.945626503
119;21310711;0;;5.500204452;5.50230163
120;121004711;0;;6.26648888;6.265424584
121;318305011;0;;5.380795115;5.37922145
122;109002011;0;;5.858243906;5.860641038
123;49009611;0;;5.338707154;5.335969629
124;108609111;0;;7.202225735;7.207440022
125;61303211;0;;5.304803498;5.307318683
126;79305611;0;;5.827984314;5.830036966
127;295203233;0;;5.692288767;5.689246373
128;241000311;0;;5.962435427;5.963610479
129;191006711;0;;5.928829126;5.931260546
130;17503311;0;;6.072808503;6.068863751
131;268210611;0;;6.744069305;6.748401217
132;180603711;0;;7.192681428;7.193167237
133;73002311;0;;4.873752351;4.869522349
134;391600111;0;;6.810212831;6.811700838
135;243907111;0;;6.4926388;6.492464275
136;12903411;0;;6.135365796;6.136592694
137;323803611;0;;5.764283901;5.766197639
138;7301011;0;;5.829023555;5.827916804
139;352106811;0;;6.014133238;6.014803324
140;250307511;0;;6.371087544;6.373094439
141;352109511;0;;6.405205384;6.404411588
142;83805711;0;;5.177058047;5.173312686
143;11413111;0;;5.433632172;5.43306437
144;203601211;0;;5.839009752;5.836200796
145;60508011;0;;5.130964535;5.132962152
146;311910511;0;;6.186702169;6.185145307
147;360203011;0;;5.250243051;5.250902124
148;319506011;0;;6.17862057;6.177006444
149;121500311;0;;6.269292618;6.268692015
150;258905511;0;;6.366174612;6.362112712
151;341110411;0;;5.840003324;5.841867669
152;33800911;0;;4.705289153;4.705278233
153;203805211;0;;6.889142761;6.891420349
154;33701211;0;;4.675078936;4.675613676
155;141505911;0;;5.9662563;5.965694596
156;169103511;0;;6.348729857;6.34719523
157;266306111;0;;7.005519397;7.006454386
158;275407411;0;;6.196760994;6.197117139
159;335900911;0;;5.789030167;5.78880367
160;102210711;0;;5.640379866;5.63854778
161;49507511;0;;5.184720254;5.187602739
162;5301511;0;;6.130144267;6.13338438
163;297003811;0;;5.658156054;5.659920115
164;97904211;0;;4.992892824;4.993190776
165;239205611;0;;6.118709037;6.119815141
166;57802611;0;;5.274096964;5.271999635
167;324207711;0;;6.350922732;6.350481805
168;281906611;0;;6.252001205;6.25211538
169;173303411;0;;6.018391327;6.01939673
170;207109011;0;;7.403679099;7.405965935
171;28610311;0;;5.648799903;5.645436835
172;233505911;0;;4.943287556;4.942159054
173;350616111;0;;6.190355867;6.192158223
174;143505611;0;;5.694412822;5.693728089
175;84305011;0;;4.885608889;4.886006073
176;158203811;0;;5.728960103;5.726017717
177;39502611;0;;6.614574835;6.615110668
178;86300711;0;;5.162618744;5.162981548
179;11302411;0;;5.023250687;5.022950153
180;233806811;0;;5.468556869;5.46913245
181;95810911;0;;5.416338961;5.416878744
182;150607411;0;;4.770140757;4.770713664
183;339904411;0;;4.706344492;4.706646738
184;344506511;0;;5.488497072;5.49340205
185;176703322;0;;6.032478672;6.033202047
186;314007211;0;;5.800145956;5.800859433
187;147001911;0;;5.617398668;5.615244529
188;287910311;0;;5.126560473;5.126019468
189;287203611;0;;6.256930102;6.258593477
190;133501311;0;;5.547680826;5.546258612
191;109001211;0;;5.537053045;5.537410924
192;158104011;0;;5.918711737;5.919130697
193;194708512;0;;6.638150168;6.63822903
194;311210011;0;;6.298502667;6.297804348
195;232904011;0;;5.409308702;5.408562792
196;98510711;0;;4.994811316;4.99805027
197;195110811;0;;6.272235515;6.275536712
198;39408311;0;;5.623172562;5.621535524
199;204600411;0;;6.144203499;6.145672644
200;152007511;0;;4.897105398;4.895815048
201;126600511;0;;5.324589127;5.323870416
202;10410211;0;;5.355277417;5.357887315
203;86600411;0;;5.469145981;5.465529522
204;205106511;0;;6.461594436;6.461085127
205;244507711;0;;5.539309734;5.540153688
206;283804611;0;;5.976479382;5.978566608
207;124811011;0;;6.233641267;6.232626
208;216803511;0;;6.210376164;6.206098414
209;331306811;0;;6.67063314;6.673537701
210;254211111;0;;5.462693879;5.461874164
211;228608411;0;;5.726781697;5.73187451
212;31813511;0;;4.925775503;4.926223995
213;64003111;0;;6.739142906;6.735855748
214;177803311;0;;6.077357071;6.077372963
215;129306911;0;;6.057650014;6.057666613
216;240312811;0;;5.638618452;5.638105577
217;93306911;0;;5.39778735;5.3958216
218;99103511;0;;6.263800072;6.263518974
219;328002211;0;;6.240639054;6.241990172
220;165806711;0;;5.354115992;5.351983426
221;182905811;0;;6.664455634;6.665481742
222;372507811;0;;5.332705066;5.334181862
223;25403411;0;;4.812965621;4.813211222
224;80207611;0;;5.886285966;5.887738508
225;156210211;0;;6.552656166;6.553122863
226;49503811;0;;4.982901966;4.984624961
227;70408211;0;;5.04851406;5.049453892
228;271505411;0;;6.308389204;6.309171812
229;81909111;0;;5.30527336;5.305159048
230;352400611;0;;4.70570998;4.706093605
231;208609111;0;;5.895837496;5.89312323
232;225302611;0;;5.591110723;5.590499649
233;362916011;0;;5.411468635;5.41403873
234;69507411;0;;4.906276879;4.902494316
235;201603712;0;;6.413451102;6.414704784
236;258803511;0;;6.329910704;6.326504196
237;61708411;0;;5.04706932;5.043361796
238;131205211;0;;6.605483092;6.608660722
239;136911711;0;;5.631830557;5.629621274
240;36803911;0;;6.859564969;6.856821594
241;188404111;0;;6.307191071;6.307340792
242;159307811;0;;6.276693998;6.278820658
243;379506922;0;;6.02018939;6.019493814
244;31802111;0;;5.329698035;5.3328509
245;81204511;0;;6.235862158;6.237755416
246;117902011;0;;5.813169022;5.813572555
247;108408211;0;;5.337906654;5.338692816
248;7709411;0;;4.97124719;4.975071821
249;205200611;0;;5.804317478;5.802796412
250;300908511;0;;6.095518938;6.093769
251;325905111;0;;5.933560695;5.931724554
252;164604011;0;;5.627670991;5.624281366
253;296403411;0;;6.203240847;6.201862283
254;272403011;0;;6.386808694;6.385714515
255;322408011;0;;6.195553058;6.194544242
256;131906611;0;;5.857035428;5.857129415
257;226501311;0;;5.921117385;5.919496213
258;174110311;0;;5.915342596;5.91200152
259;324607511;0;;6.164741176;6.167569913
260;381024011;0;;5.580094888;5.583348038
261;166306211;0;;6.190786895;6.195345047
262;231305011;0;;4.940447963;4.938223265
263;82606011;0;;5.478351493;5.484353415
264;340805911;0;;5.259113068;5.259163204
265;217400111;0;;6.258086061;6.256678149
266;17302811;0;;5.705073326;5.701608719
267;67606611;0;;5.327459833;5.323377623
268;317403311;0;;5.466791521;5.464484264
269;330504411;0;;5.634329263;5.631944772
270;161609011;0;;5.788479707;5.789220001
271;161505911;0;;6.703443044;6.703366438
272;126303011;0;;5.979477814;5.979345094
273;52900511;0;;6.12805331;6.127843314
274;95105311;0;;5.370714181;5.372555374
275;101507111;0;;6.353622216;6.35638357
276;254100311;0;;5.552881082;5.553272386
277;66808311;0;;5.22556026;5.224214057
278;235203611;0;;6.243620575;6.242766091
279;59002511;0;;5.381229122;5.38262899
